,country,total_cases,new_cases,total_deaths,new_deaths,total_rec,active_cases,critical,tot_cases_1mpop,deaths_1mpop,total_tests,tests_1mpop,demo_idx,gdp
80,Cuba,1369,,54.0,,501,814,12.0,121.0,5.0,39828.0,3516.0,2.84,
81,Bulgaria,1363,63.0,58.0,2.0,206,1099,41.0,196.0,8.0,27000.0,3886.0,7.03,26034.0
82,Nigeria,1273,,40.0,,239,994,2.0,6.0,0.2,10918.0,53.0,4.12,6172.0
83,Ivory Coast,1150,,14.0,,468,668,,44.0,0.5,,,4.05,
84,Hong Kong,1038,,4.0,,787,247,4.0,138.0,0.5,145640.0,19426.0,6.02,66527.0
85,Djibouti,1023,,2.0,,411,610,,1035.0,2.0,11741.0,11884.0,2.77,5855.0
86,Guinea,996,,7.0,,208,781,,76.0,0.5,,,3.14,2574.0
87,Bolivia,950,84.0,50.0,4.0,80,820,3.0,81.0,4.0,5791.0,496.0,4.84,8525.0
88,Tunisia,949,,38.0,,216,695,20.0,80.0,3.0,20818.0,1761.0,6.72,13093.0
89,Latvia,818,6.0,13.0,1.0,267,538,5.0,434.0,7.0,49235.0,26103.0,7.49,32987.0
90,Cyprus,817,,14.0,,148,655,15.0,677.0,12.0,43542.0,36064.0,7.59,42956.0
91,Andorra,738,,40.0,,344,354,17.0,9552.0,518.0,1673.0,21653.0,,
92,Senegal,736,65.0,9.0,,284,443,1.0,44.0,0.5,466.0,28.0,5.81,4079.0
93,Albania,726,,28.0,,410,288,4.0,252.0,10.0,7279.0,2529.0,5.89,14866.0
94,Diamond Princess,712,,13.0,,645,54,4.0,,,,,,
95,Lebanon,710,3.0,24.0,,145,541,44.0,104.0,4.0,29367.0,4303.0,4.36,15599.0
96,Niger,696,,29.0,,350,317,,29.0,1.0,5013.0,207.0,3.29,1152.0
97,Kyrgyzstan,695,13.0,8.0,,395,292,13.0,107.0,1.0,45627.0,6994.0,4.89,4193.0
98,Costa Rica,695,,6.0,,264,425,8.0,136.0,1.0,12467.0,2447.0,8.13,18651.0
99,Honduras,661,34.0,61.0,2.0,79,521,10.0,67.0,6.0,3643.0,368.0,5.42,5600.0
100,Burkina Faso,632,,42.0,,453,137,,30.0,2.0,,,4.04,2181.0
101,Uruguay,606,10.0,15.0,1.0,375,216,10.0,174.0,4.0,17063.0,4912.0,8.38,24516.0
102,Sri Lanka,581,58.0,7.0,,126,448,2.0,27.0,0.3,15240.0,712.0,6.27,14509.0
103,San Marino,538,,41.0,,64,433,4.0,15856.0,1208.0,2074.0,61124.0,,62913.0
104,Channel Islands,525,,35.0,,332,158,,3020.0,201.0,5342.0,30725.0,,
105,Guatemala,500,27.0,15.0,2.0,49,436,5.0,28.0,0.8,7200.0,402.0,5.26,9009.0
106,Georgia,496,10.0,6.0,,149,341,6.0,124.0,2.0,11504.0,2884.0,5.42,13200.0
107,Somalia,480,44.0,26.0,3.0,10,444,2.0,30.0,2.0,,,,
108,DRC,459,17.0,28.0,,50,381,,5.0,0.3,,,1.13,
109,Malta,450,2.0,4.0,,286,160,1.0,1019.0,9.0,29456.0,66712.0,7.95,49589.0
110,Jordan,449,2.0,7.0,,342,100,5.0,44.0,0.7,63737.0,6247.0,3.93,9939.0
111,Taiwan,429,,6.0,,290,133,,18.0,0.3,60956.0,2559.0,7.73,57214.0
112,Réunion,417,,,,300,117,2.0,466.0,,,,,
113,Mayotte,401,,4.0,,144,253,4.0,1470.0,15.0,2500.0,9164.0,,
114,Mali,389,,23.0,,112,254,,19.0,1.0,2172.0,107.0,4.92,2569.0
115,Kenya,363,8.0,14.0,,114,235,2.0,7.0,0.3,17992.0,335.0,5.18,4078.0
116,Jamaica,350,45.0,7.0,,28,315,3.0,118.0,2.0,3262.0,1102.0,6.96,9932.0
117,Palestine,342,,2.0,,83,257,,67.0,0.4,27000.0,5293.0,3.89,
118,Mauritius,334,2.0,9.0,,302,23,3.0,263.0,7.0,14445.0,11358.0,8.22,26461.0
119,Venezuela,325,,10.0,,137,178,3.0,11.0,0.4,423592.0,14896.0,2.88,
120,El Salvador,323,25.0,8.0,,89,226,4.0,50.0,1.0,20109.0,3100.0,6.15,8593.0
121,Montenegro,321,,7.0,,153,161,7.0,511.0,11.0,5085.0,8096.0,5.65,21977.0
122,Isle of Man,308,,18.0,,247,43,22.0,3622.0,212.0,2854.0,33563.0,,
123,Tanzania,299,,10.0,,48,241,7.0,5.0,0.2,,,5.16,3652.0
124,Sudan,275,38.0,22.0,1.0,21,232,,6.0,0.5,,,2.7,3986.0
125,Vietnam,270,,,,225,45,8.0,3.0,,212965.0,2188.0,3.08,8677.0
126,Equatorial Guinea,258,,1.0,,8,249,,184.0,0.7,854.0,609.0,1.92,19961.0
127,Paraguay,228,,9.0,,85,134,1.0,32.0,1.0,7630.0,1070.0,6.24,13213.0
128,Maldives,226,12.0,,,17,209,2.0,418.0,,5296.0,9798.0,,24796.0
129,Congo,200,,6.0,,19,175,,36.0,1.0,,,,
130,Rwanda,191,,,,92,99,,15.0,,6959.0,537.0,3.16,2642.0
131,Faeroe Islands,187,,,,178,9,,3827.0,,6588.0,134826.0,,
132,Gabon,176,,3.0,,30,143,1.0,79.0,1.0,572.0,257.0,3.61,19839.0
133,Martinique,175,,14.0,,77,84,7.0,466.0,37.0,,,,
134,Guadeloupe,149,,12.0,,82,55,11.0,372.0,30.0,,,,
135,Myanmar,146,,5.0,,10,131,,3.0,0.09,6678.0,123.0,3.55,7220.0
136,Gibraltar,141,,,,131,10,,4185.0,,2198.0,65240.0,,
137,Brunei ,138,,1.0,,124,13,2.0,315.0,2.0,13149.0,30056.0,,
138,Liberia,124,,12.0,,25,87,,25.0,2.0,,,5.45,1428.0
139,Ethiopia,124,1.0,3.0,,50,71,,1.0,0.03,14588.0,127.0,3.44,2702.0
140,Madagascar,124,,,,71,53,1.0,4.0,,2357.0,85.0,5.64,1776.0
141,Cambodia,122,,,,119,3,1.0,7.0,,11576.0,692.0,3.53,5004.0
142,Trinidad and Tobago,116,1.0,8.0,,59,49,,83.0,6.0,1525.0,1090.0,7.16,33713.0
143,French Guiana,111,,1.0,,87,23,,372.0,3.0,,,,
144,Bermuda,109,,6.0,1.0,39,64,10.0,1750.0,96.0,1546.0,24824.0,,
145,Cabo Verde,109,3.0,1.0,,1,107,,196.0,2.0,791.0,1423.0,,
146,Aruba,100,,2.0,,73,25,4.0,937.0,19.0,1622.0,15192.0,,
147,Togo,98,,6.0,,62,30,,12.0,0.7,5951.0,719.0,3.3,1913.0
148,Monaco,94,,4.0,,42,48,1.0,2395.0,102.0,,,,
149,Sierra Leone,93,,4.0,,10,79,,12.0,0.5,,,4.86,1765.0
150,Zambia,88,,3.0,,42,43,1.0,5.0,0.2,2586.0,141.0,5.09,4174.0
151,Liechtenstein,82,,1.0,,55,26,,2151.0,26.0,900.0,23605.0,,
152,Bahamas,80,,11.0,,22,47,1.0,203.0,28.0,,,,
153,Barbados,79,,6.0,,39,34,4.0,275.0,21.0,1663.0,5787.0,,19364.0
154,Uganda,79,,,,46,33,,2.0,,22318.0,488.0,5.02,2753.0
155,Mozambique,76,,,,12,64,,2.0,,1644.0,53.0,3.65,1372.0
156,Sint Maarten,74,,13.0,,33,28,7.0,1726.0,303.0,266.0,6204.0,,
157,Guyana,74,,8.0,,12,54,5.0,94.0,10.0,442.0,562.0,6.15,17163.0
158,Haiti,74,,6.0,,7,61,,6.0,0.5,769.0,67.0,4.57,1916.0
159,Cayman Islands,70,,1.0,,8,61,3.0,1065.0,15.0,940.0,14303.0,,
160,Benin,64,,1.0,,33,30,,5.0,0.08,,,5.09,3648.0
161,Libya,61,,2.0,,18,41,,9.0,0.3,1623.0,236.0,2.02,9446.0
162,Eswatini,59,,1.0,,10,48,,51.0,0.9,714.0,615.0,3.14,11139.0
163,French Polynesia,57,,,,43,14,1.0,203.0,,2266.0,8067.0,,
164,Guinea-Bissau,53,,1.0,,3,49,,27.0,0.5,1500.0,762.0,2.63,2113.0
165,Nepal,52,,,,16,36,,2.0,,51367.0,1763.0,5.28,3550.0
166,Chad,46,,,,15,31,,3.0,,,,1.61,2603.0
167,Macao,45,,,,32,13,1.0,69.0,,,,,
168,Syria,43,,3.0,,14,26,,2.0,0.2,,,1.43,
169,Eritrea,39,,,,13,26,,11.0,,,,2.37,1103.0
170,Saint Martin,38,,3.0,,24,11,3.0,983.0,78.0,,,,
171,Mongolia,38,,,,10,28,,12.0,,7292.0,2224.0,6.5,15089.0
172,Malawi,36,2.0,3.0,,4,29,1.0,2.0,0.2,617.0,32.0,5.5,1292.0
173,Zimbabwe,31,,4.0,,5,22,,2.0,0.3,6395.0,430.0,3.16,2778.0
174,Angola,26,,2.0,,6,18,,0.8,0.06,,,3.72,6763.0
175,Antigua and Barbuda,24,,3.0,,11,10,1.0,245.0,31.0,113.0,1154.0,,30593.0
176,Timor-Leste,24,,,,2,22,,18.0,,322.0,244.0,7.19,5321.0
177,Botswana,22,,1.0,,,21,,9.0,0.4,5023.0,2136.0,7.81,19388.0
178,CAR,19,,,,10,9,,4.0,,,,,
179,Laos,19,,,,7,12,,3.0,,1796.0,247.0,2.14,8684.0
180,Belize,18,,2.0,,5,11,1.0,45.0,5.0,816.0,2052.0,,8791.0
181,Fiji,18,,,,12,6,,20.0,,1007.0,1123.0,5.85,12689.0
182,Grenada,18,,,,7,11,4.0,160.0,,175.0,1555.0,,17434.0
183,New Caledonia,18,,,,17,1,1.0,63.0,,3952.0,13842.0,,
184,Curaçao,16,,1.0,,11,4,,98.0,6.0,304.0,1853.0,,
185,Dominica,16,,,,13,3,,222.0,,383.0,5320.0,,12851.0
186,Namibia,16,,,,8,8,,6.0,,704.0,277.0,6.43,11451.0
187,Saint Kitts and Nevis,15,,,,2,13,,282.0,,260.0,4887.0,,31950.0
188,Saint Lucia,15,,,,15,0,,82.0,,446.0,2429.0,,15159.0
189,St. Vincent Grenadines,15,1.0,,,5,10,,135.0,,108.0,973.0,,
190,Nicaragua,13,,3.0,,7,3,,2.0,0.5,,,3.55,5297.0
191,Falkland Islands,13,,,,11,2,,3736.0,,353.0,101437.0,,
192,Turks and Caicos,12,1.0,1.0,,5,6,,310.0,26.0,83.0,2144.0,,
193,Burundi,11,,1.0,,4,6,,0.9,0.08,284.0,24.0,2.15,724.0
